question,answer,id,source
what county is Belgium Wisconsin,Belgium is a village located in Ozaukee County  Wisconsin  United States ,00009dbf-9105-438e-9428-9deb5f9ad31b,MSMARCO
what county is Bellville Texas in,Bellville is in Austin County  Texas ,a511eae8-bffd-49b7-9efe-a4ac42982a57,MSMARCO
what county is Beloit Wisconsin in,Beloit  WI is in Rock County ,b2dfd2f6-2cbf-485c-a498-54c4477055b9,MSMARCO
what county is Belton Texas in,Belton  Texas is in Bell County ,5914ee67-1c7f-4953-85a8-fea1ac7a69a7,MSMARCO
what county is Benwood West Virginia in,Benwood is a city in Marshall County  West Virginia  along the Ohio River ,b3594be1-3c24-455a-9f41-6925a8753561,MSMARCO
what county is Bertha Minnesota in,Bertha is in Todd County  Minnesota ,b392e705-4d88-4dad-ab4a-811535192f17,MSMARCO
what county is Big Lake Minnesota in,Big Lake  Carlton County  Minnesota ,a0ef910b-89a8-40e0-a355-1a2d712aad1a,MSMARCO
what county is Bismarck Illinois,Bismarck is in Vermilion County  Illinois ,3dfa1283-89f0-490c-93f6-91cb38d1067e,MSMARCO
what county is Blaine,Blaine County is a county in southern San Andreas ,31a83214-6eb9-4875-b94f-8b6c52a53d50,MSMARCO
what county is Blanchard Washington,Blanchard is located in Skagit County  Washington ,31f28cce-3cc4-4b7d-92a8-37fb476b2a21,MSMARCO
what county is Bourbon Missouri in,Bourbon is in Crawford County  Missouri ,3c14388b-d4c9-4774-be24-301127be7172,MSMARCO
what county is Bowman North Dakota,Bowman is a city and county seat of Bowman County  North Dakota  United States ,896fb150-a3be-4c72-8cb6-54a878d8eed0,MSMARCO
what county is Brea California,Brea is in Orange County  California ,d3a492f0-0a74-49fb-a2cc-e9ddafa15542,MSMARCO
what county is Bristow Virginia,Bristow is an unincorporated community of Prince William County ,c568656f-3d77-4f0b-a60f-f99631a5d43d,MSMARCO
what county is Brooklyn Mississippi in,Brooklyn is in Forrest County  Mississippi ,bfa4872f-5dfa-4c1f-a49a-c5040db39eba,MSMARCO
what county is bryant in South Dakota,Bryant is in Hamlin County  South Dakota ,52233591-88ad-445a-bd35-75df0fd8f481,MSMARCO
what county is Bryson City,Bryson City is in Swain County  North Carolina ,d2eda0ef-d13c-4f82-b6cd-fc1cc71dfb6e,MSMARCO
what county is Buckfield Maine in,Buckfield is in Oxford County  Maine ,0b12868b-3369-4ee8-bb18-f3fdab9336f7,MSMARCO
what county is Buford Georgia in,Buford is in Gwinnett and Hall counties  Georgia ,bee10ec0-32e8-4515-93c5-f8d8fee54d3d,MSMARCO
what county is Caledonia Illinois,Caledonia is in Winnebago County and Boone County  Illinois ,7f983063-53fa-4bce-badd-91ad0c215bce,MSMARCO
what county is Camp Grove Illinois,Camp Grove  Illinois is in Marshall County ,d24b6e99-cea6-4b40-ba07-c97b666de4c9,MSMARCO
what county is Canton Connecticut in,Canton is in Hartford County ,e9a3cf8f-acca-4199-9693-abcb7d27d52d,MSMARCO
what county is Castle Rock Washington,The City of Castle Rock is located within Castle Rock Division of Cowlitz County ,a7ebc7ad-7a39-49fa-9da7-eefe9f598ee3,MSMARCO
what county is Castro Valley California in,Castro Valley is in Alameda County  California ,a4aa9cf1-6570-4634-b82a-24a235d4a735,MSMARCO
what county is Cedar Grove New York in,Cedar Grove is located in Suffolk County  New York ,a8da63aa-14cb-4c69-997b-06e336653af8,MSMARCO
what county is celebration Florida in,Celebration is in Osceola County  Florida ,5b195f63-33e7-4c7f-b23b-2054b13ef529,MSMARCO
what county is Center Cross Virginia located in,Center Cross is located in Essex County  Virginia ,45d5e57f-9afe-411e-9c26-cc5430e4564c,MSMARCO
what county is Centerpoint in,Center Point is in Clay County  Indiana  United States ,2a027df9-895f-4fed-aa03-6f9acb82ae67,MSMARCO
what county is Centerville Texas,Centerville  Texas is in Leon County ,a5339d09-176a-4f09-ad6c-492076510d7c,MSMARCO
what county is Chandler Arizona in,No Answer Present ,5bb973d5-3b17-4be2-8d23-b563deb38016,MSMARCO
what county is charleston Arkansas in,Charleston is in Franklin County  Arkansas ,d0edaa0e-af65-4f62-b3d0-cf15441401c3,MSMARCO
what county is Chiefland Florida,Chiefland is in Levy County  Florida  United States ,3a94f05e-6c93-4808-8d72-646795c22b59,MSMARCO
what county is Chiloquin Oregon,Chiloquin is located in Klamath County  Oregon ,e759f0bb-55ef-4daf-adcd-d08331af89aa,MSMARCO
what county is Cibolo Texas in,Cibolo is in Guadalupe County  Texas ,c421d85a-ccc4-40dd-8375-51a5bb5f38e7,MSMARCO
what county is City of Belleair Beach Florida in,Belleair Beach  Florida is a city in Pinellas County  Florida  United States ,7f7f8c3b-f947-455a-8f3f-0dfeec48683e,MSMARCO
what county is City of Kewaunee Wisconsin in,Kewaunee city is of kewaunee Wisconsin ,afc87478-d575-4d3f-b9fd-55216bb0e64d,MSMARCO
what county is Clayton Alabama in,Clayton is in Barbour County  Alabama ,5b96cb07-46e9-4840-bba6-6e13dc1b8166,MSMARCO
what county is Clermont Georgia,Clermont is located in northern Hall County  Georgia ,58947334-3466-4891-a83d-a46b9842ffc0,MSMARCO
what county is clinton Connecticut,Clinton is in Middlesex County  Connecticut  United States ,63a1a37b-fed6-4810-b035-c604efe5daff,MSMARCO
what county is clinton Illinois in,Clinton is in DeWitt County  Illinois  United States ,3133e783-9470-4058-a4dc-4f25ccc617ca,MSMARCO
what county is Clovis California in,Clovis is in Fresno County ,080d18cb-b5ad-411c-800f-88a3406f94b0,MSMARCO
what county is coleman Michigan in,Coleman  Michigan is in Midland County ,98e4c04e-f870-4235-a594-f23fa60f2966,MSMARCO
what county is Collierville Tennessee in,Collierville is in Shelby County  Tennessee ,707288ec-63fd-45b7-a6ca-4d34d7c12fc8,MSMARCO
what county is Collingswood New Jersey,Collingswood is part of Camden County ,4c443d80-114f-4977-8084-601d5580a454,MSMARCO
what county is Costa Mesa California in,Costa Mesa is in Orange County  California ,35102edd-c546-472b-9e67-da180cf2eb07,MSMARCO
what county is Cottekill New York,Cottekill is a small hamlet in the northwest part of the Town of Rosendale  Ulster county  New York in the United States ,3d3bf5f5-b94c-4c64-a5f6-d769ceaf6dba,MSMARCO
what county is Covington Tennessee located in,Covington is located in Tipton County ,ce2a4785-0444-48f8-9a95-60e42b14d0e5,MSMARCO
what county is Croton on Hudson New York in,Croton on Hudson  New York is in Westchester County ,02d87ed1-7699-4142-b5aa-48437abdf633,MSMARCO
what county is Dana Point California in,Dana Point is in Orange County  California ,0e57161c-555f-4fab-9b94-fdec1fa31983,MSMARCO
what county is Deckerville Michigan,Deckerville is in Sanilac County  Michigan ,e0186df9-a1fa-4adb-8d4a-6f929bd9129f,MSMARCO
what county is Del Lago in,Del Lago is in Montgomery County ,87a3c693-8bdc-43dd-84be-66ad8d6dac34,MSMARCO
what county is Doraville Georgia in,Doraville is a city in DeKalb County  Georgia ,fb3c866e-d361-4cee-9c9d-e6a2c54b34f6,MSMARCO
what county is Douglasville Florida,No Answer Present ,3fd39df1-a45d-4745-882f-3b4615e5a948,MSMARCO
what county is downtown Madison,Madison is in Dane County ,34c2bce7-c16d-4d5c-8cd6-782734ee59a0,MSMARCO
what county is Dunkirk Indiana in,Dunkirk is in Blackford County and Jay County  Indiana ,3db03bd4-e696-4019-bbcf-621ad061ee67,MSMARCO
what county is Earlham Iowa in,Earlham is a city in Madison County  Iowa  United States ,7818d121-2efb-4a73-8366-232b441f36be,MSMARCO
what county is Ecorse Michigan in,Ecorse is in Wayne County  Michigan ,e58ed5ae-1737-4b31-abbc-035395ec205c,MSMARCO
what county is Eddyville Nebraska,Eddyville is in Dawson County  Nebraska ,f31c22e6-92d9-4062-b82c-fa22c03278b3,MSMARCO
what county is Edgewood Washington,Edgewood is in Pierce County  Washington ,83c43562-4421-4bd0-a7d6-a79e9c1ea20a,MSMARCO
what county is Elkhart Texas in,Elkhart  Texas is located ten miles south between Palestine  Texas  the county seat of Anderson and thirteen miles north of Grapeland which is in Houston County and its county seat is Crockett ,8ffd3105-12c9-43ae-9a41-67b613a36fee,MSMARCO
what county is Elko Minnesota in,Elko  Minnesota is a city in Scott County ,1fcc0d3d-c673-41dd-a006-f144851bf6a3,MSMARCO
what county is Ellisville Mississippi in,Ellisville is a city in and the first county seat of Jones County  Mississippi  United States ,0c789aa9-baf2-4637-b6b2-362c06c568e7,MSMARCO
what county is Elsa Texas in,Elsa  Texas is in Hidalgo County ,f66952f8-e2d6-43be-9bf4-c7597689fda9,MSMARCO
what county is Ely Island in,Ely Island is in Lancaster County ,a57587f9-910f-479b-a6dd-c94dab01d1b6,MSMARCO
what county is Erie Colorado in,Erie is in Boulder County and Weld County  Colorado ,141141cc-6475-4a58-a0da-ff16a471439e,MSMARCO
what county is Ethridge Tennessee,Ethridge is in Lawrence County  Tennessee ,b8dccef9-46ee-4f9f-93c4-768b00814b44,MSMARCO
what county is Etowah Tennessee in,Etowah is located in McMinn County  Tennessee ,223d6480-d09f-4139-92ac-d7c3ee51dd8e,MSMARCO
what county is Farmingdale in New York,Farmingdale is in Nassau County  New York ,3f19efc0-ddef-4a97-9d68-47a393518887,MSMARCO
what county is Farmington Delaware in,Farmington is in Kent County  Delaware  United States ,7e6b62f2-6d28-43a0-b66e-c53d26446e6c,MSMARCO
what county is Farmington Minnesota in,Farmington is in Dakota County  Minnesota ,3716213d-4f28-43d4-8895-14462676c618,MSMARCO
what county is Fleetwood North Carolina in,Fleetwood  North Carolina is in Ashe County ,b8706fe3-f43c-487f-b096-f5403e54f22e,MSMARCO
what county is Fleur ave of Des Moines in,Fleur  Des Moines is in Polk County ,625daaad-cd8a-4881-bae8-7bfb0801c14c,MSMARCO
what county is Flushing in,Flushing is a village in Belmont County ,42248f4e-96b4-483f-abc9-2169da84f73e,MSMARCO
what county is Forest City Florida,Forest City is in Seminole County  Florida  United States ,4f1bf1a3-ad12-4bc3-9923-ceb11a556f20,MSMARCO
what county is fountain Colorado in,Fountain is in El Paso County  Colorado ,747a3a65-393a-434f-a9a5-2f9f8f74eb5f,MSMARCO
what county is Gaithersburg Maryland located in,Gaithersburg is located in Montgomery County  Maryland ,83ba7dc2-11b0-4ca8-91bd-522620da8c8f,MSMARCO
what county is Galva Kansas in,Galva is in McPherson County  Kansas ,bce4114b-6c5a-4e61-8110-274e29c9dba5,MSMARCO
what county is Garden Valley California,Garden Valley is in El Dorado County  California ,bdceaa00-d885-4881-897d-eea927e313fd,MSMARCO
what county is Garfield Washington in,Garfield County is a county located in the United States   Washington ,088617e6-9204-4242-8fe2-2de6a8c03fc6,MSMARCO
what county is Geneva Illinois in,CASA Kane County  Geneva  IL ,477905ed-5434-47ae-807b-1f525815a7fe,MSMARCO
what county is Genoa New York in,Genoa  New York is located in Cayuga County ,0e15e92b-e238-49d0-a28a-e04a2fd26239,MSMARCO
what county is Godley Texas in,Godley is in northwestern Johnson County  Texas ,55a73824-0e41-4d58-ae73-b28287fe34a4,MSMARCO
what county is Greenville Texas in,Greenville is in Hunt County  Texas ,70f4d8c4-7c3a-4123-8cfb-8bdaa274327b,MSMARCO
what county is Grottoes Virginia in,Rockingham County is a county located in the U S  state of Virginia ,644cd862-b786-42cf-8683-893ab3a0e4e0,MSMARCO
what county is Grover Beach California,Grover Beach is located in San Luis Obispo County  California ,59c05278-2157-46e5-9833-fe090c45e2d0,MSMARCO
what county is Hamilton Square New Jersey in,Hamilton Square is located close to the center of New Jersey in the Mercer County ,8609eac0-d076-4a15-bce0-be5dd08a28e0,MSMARCO
what county is Hamlin West Virginia located in,Hamlin is located in Lincoln County  West Virginia ,49c6c3ac-ab02-4b22-b7a5-37ef136ad59d,MSMARCO
what county is Hazlet New Jersey,Hazlet is a township in Monmouth County  New Jersey  United States ,7ca4a3ae-ee06-4b32-994e-ccf36fa8c23c,MSMARCO
what county is Headland Alabama in,Headland is located in Henry County  Alabama ,f5729217-a36b-4b23-88e0-9475ac4d8bdd,MSMARCO
what county is Hedgesville West Virginia,Hedgesville is in Berkeley County  West Virginia ,7708d0b5-6049-4f0e-b7a6-d91c13078922,MSMARCO
what county is henderson Texas in,Henderson  Texas is in Rusk County ,23a07cb9-e912-4452-9389-fbb7b85f3cfb,MSMARCO
what county is Highland Park California in,Highland Park is in Los Angeles County  California ,f8026080-873b-4206-8672-f934d20b4527,MSMARCO
what county is Hixson Tennessee,Hixson is in Hamilton County  Tennessee ,66bc0ca8-27ec-40b8-a1b0-32e780d371fb,MSMARCO
what county is Holland Michigan in,Holland Charter Township is located in the southwest portion of Ottawa County  Michigan ,336f8a20-c7dd-4aca-b7fc-4b7545f4fe74,MSMARCO
what county is Hollister California in,Hollister is in San Benito County  California ,9d7962cd-b37f-48d5-9767-8fa3c7045064,MSMARCO
what county is Holyrood Kansas,No Answer Present ,89ceea81-4f1a-4a36-b55f-a1ec478ea6dd,MSMARCO
what county is Homer Michigan in,Homer is in Calhoun County in the U S  state of Michigan ,eb534770-741a-4e54-8ff7-e1bddee49df0,MSMARCO
what county is Howell New Jersey in,Howell Township is a township in Monmouth County  New Jersey  United States ,820edb9a-fbb9-4943-9fa6-8a76d575ae96,MSMARCO
what county is Huntington Beach Florida in,Huntington Beach is in Orange County  Florida ,db59095f-7a39-4f0c-9bec-b14c5f55c073,MSMARCO
what county is huntington California,Huntington Beach is in Orange County in Southern California ,7f8782da-0ba2-4fdf-bc5b-43dab573ecff,MSMARCO
what county is Hunts Corners New York in,Hunts Corners is in Erie County  New York ,46a145a6-4224-44fe-aabf-e3bc5942330c,MSMARCO
what county is Hutchinson hospital in in Minnesota,Hutchinson Community Hospital is in McLeod County  Minnesota ,53d464ea-17a3-4443-bd75-5525f369bc41,MSMARCO
what county is Idaho Springs in,Idaho Springs is in Clear Creek County ,fef4e20f-8931-4af7-b67a-8931a1e15630,MSMARCO
what county is in Highlands Ranch,Highlands Ranch is in Douglas County ,c060687d-3ef2-4346-9874-0205b5f6de4c,MSMARCO
what county is Intercession City,Intercession city is in Osceola County ,b7f9efcc-6584-48ab-9a3f-f686be21cca9,MSMARCO
what county is Iowa Park Texas,Iowa Park  Texas is in Wichita County ,108be98a-cf8f-4b21-b775-75a38e6d1f04,MSMARCO
what county is it Neenah,No Answer Present ,b6612f54-8e06-4aef-81dc-cb76725e5ca4,MSMARCO
what county is Janesville Minnesota in,Janesville is a city in Waseca County  Minnesota ,80fadd18-d193-409c-a9b4-8987931daabb,MSMARCO
what county is Jasper Alabama in,Jasper is in Walker County  Alabama ,6aaa3d9d-8e32-405b-acf9-fb38057f98f9,MSMARCO
what county is jefferson North Carolina,Jefferson is in Ashe County  North Carolina ,58de5244-2a22-4dd7-8cb0-31ef3cc35744,MSMARCO
what county is Jeffersonville Georgia in,Jeffersonville is a city in and the county seat of Twiggs County  Georgia  United States ,08e4e581-8faa-4938-980a-a739295d0a76,MSMARCO
what county is Kalispell Montana in,Kalispell is in Flathead County  Montana ,a021c502-42a7-4474-b72c-c72e765d0293,MSMARCO
what county is Keller Texas in,Keller  Texas is in Tarrant County ,6eb074aa-f80a-4861-aa57-e2744889c6ca,MSMARCO
what county is Kendall Park New Jersey in,Kendall Park is in Middlesex County  New Jersey ,820d85bd-401c-4af7-b22e-a48c31986b73,MSMARCO
what county is Kensington California,Kkensington  California is in Contra Costa County ,c179736d-fdcf-4085-83fa-cb397c5bfae2,MSMARCO
what county is Kingston Idaho,Kingston is in Shoshone County  Idaho ,49f6add0-69dd-4fc7-bbed-6ee99e125c1e,MSMARCO
what county is Kingwood Houston,Kingwood  Houston is in Harris County with a small portion in Montgomery County ,e23b1cef-d6f2-450c-bfd6-adf941d09ea9,MSMARCO
what county is Louisiana Sal Utah,La Sal  Utah is located in San Juan County ,16614c63-d743-43c3-b081-39252d9c6360,MSMARCO
what county is lake Amistad,No Answer Present ,28793203-b5f2-4dc4-adac-105a465d39de,MSMARCO
what county is Lake Wales Florida,Lake Wales is a city in Polk County  Florida  United States ,bfc4ab00-dc7b-4de8-bd3d-f070123ed622,MSMARCO
what county is Lampasas Texas in,Lampasas is a city in Lampasas County  Texas  United States ,0423e813-8b71-4c82-be99-e77b0021d98a,MSMARCO
what county is land o lake Florida,Land O Lakes is in Pasco County  Florida ,68a329ce-ef3a-4bce-82a6-7b2cdee8afe9,MSMARCO
what county is Laplace Louisiana in,Laplace is between the St John The Baptist  Saint Charles county  Louisiana ,dccf16e2-0679-4188-8dcc-8c5ce888e267,MSMARCO
what county is Leawood Kansas in,Leawood  Kansas is located in Johnson County ,0101ae1c-8f13-4863-9bd9-24d16860bba9,MSMARCO
what county is Lefors Texas in,No Answer Present ,9810a57c-4d74-40d7-8dc4-9e3d82caa6de,MSMARCO
what county is lewis Kansas,Lewis is a city in Edwards County  Kansas ,71f2b610-b8e4-4325-8305-3e84ad5cec2a,MSMARCO
what county is Liberty Corner New Jersey in,Liberty Corner is an unincorporated community located in Bernards Township  in Somerset County  New Jersey  United States ,a346b1cf-73dc-434a-87b9-b6033176eac0,MSMARCO
what county is Licking County in,Licking County is in Newark ,2d0229f1-7c65-488f-8bf8-21732c5ce368,MSMARCO
what county is Lido Beach New York,Lido Beach is a hamlet and census designated place located in Nassau County  on the South Shore of Long Island  New York ,f35fd3ad-2c48-4a7b-9616-725393b1b680,MSMARCO
what county is Livermore Colorado in,Livermore is located in Larimer County  Colorado ,5086a320-f00e-4768-8257-64ae8679c3b4,MSMARCO
what county is Logandale nevada,Logandale is an unincorporated town located in Clark County  Nevada ,a825cb8c-9e0c-4459-8dab-e09f0633fcc6,MSMARCO
what county is Lombard Illinois in,Lombard is in Dupage County  Illinois ,55a12a25-b29f-4157-817b-fdbe31f69b76,MSMARCO
what county is Longview Texas,Gregg County is Longview  Texas  ,9acbc98b-5603-4e41-beaa-51ef3afb7709,MSMARCO
what county is Los Lunas,Los Lunas is a village in Valencia County  New Mexico  in the United States ,c728f83a-095e-41c1-bc87-d2c73de58090,MSMARCO
what county is Lumberton North Carolina,Lumberton is a city in Robeson County  North Carolina ,7103014f-155c-4134-b8ee-be736e12ef9c,MSMARCO
what county is Lyons Falls New York in,Lyons Falls is in Lewis County  New York  United States ,b89f4ecc-85ce-4f02-bc88-2ee1528b77f6,MSMARCO
what county is Machipongo Virginia in,Machipongo is in Northampton County  Virginia ,648d2e40-aa43-4bfe-867c-899ade0ddff5,MSMARCO
what county is Madisonville Kentucky,Madisonville is a city in Hopkins County  Kentucky ,d2f86fad-0b1a-44f9-8643-77fb53a2c87a,MSMARCO
what county is Mahwah New Jersey,No Answer Present ,5560ce3a-7fb2-41cd-8c4e-2e0c05daf000,MSMARCO
what county is Malone Florida in,Malone is in Jackson County  Florida ,0feacc54-91d2-4b77-898d-9610cf8395d0,MSMARCO
what county is marina California,Marina is in Monterey County  California ,8e5e84be-c4ce-422d-ad79-356441cf7837,MSMARCO
what county is Massapequa Park in,Massapequa Park is in Nassau County ,4f17a7f6-4cd0-40f7-9dbf-65922867fe30,MSMARCO
what county is Medford Wisconsin,Medford is in Taylor County  Wisconsin ,bb4667b4-4193-4bb2-93d9-fb7b11c5fc2b,MSMARCO
what county is Metamora Indiana in,Metamora is in Franklin County  Indiana ,e3b9fa32-bcfa-446f-a05e-026024f7b2bf,MSMARCO
what county is Metuchen New Jersey,Metuchen is Middlesex County  New Jersey ,c51c6319-120c-4637-85aa-eb324ac1e079,MSMARCO
what county is Middleton Georgia in,Middleton is in Elbert County  Georgia ,8b30bdd3-c41a-47e8-80e9-ef8f56e5c3fb,MSMARCO
what county is Millfield ohio,Millfield is in Athens County  Ohio ,1c699af9-93b7-4609-97eb-5e24c1d19b6b,MSMARCO
what county is Monticello Arkansas in,Monticello is in Drew County  Arkansas ,8c560101-3a66-4f7e-9b09-5ac502f00391,MSMARCO
what county is Moorestown New Jersey,Moorestown Township is situated in southwest Burlington County  New Jersey ,0b98382f-a9c9-41cb-a60a-3a9b1d8d9c3a,MSMARCO
what county is morris Connecticut in,Morris is in Litchfield County  Connecticut  United States ,a3595df6-9b83-4f81-af23-3790d48ed2f8,MSMARCO
what county is Moultonborough New Hampshire,Moultonborough is in Carroll County  New Hampshire ,b9f32b23-aca0-4b64-b355-13814a2875eb,MSMARCO
what county is Mountain House California in,Mountain House  California is in San Joaquin County ,0be48f72-0313-4c23-ab1b-6ed231297be8,MSMARCO
what county is Murfreesboro North Carolina,Murfreesboro is a town in Hertford County  North Carolina  United States ,22e2446b-b015-4240-a3d3-b9344cebac83,MSMARCO
what county is Myrtle Creek or,Myrtle Creek is in Douglas County ,037bdb19-1942-4a5a-b346-f4e707cd29bf,MSMARCO
what county is Nettleton Mississippi,Nettleton is located in Lee County  Mississippi ,7667f003-4c01-4ab2-bb92-d5d5f12779f4,MSMARCO
what county is New Home Texas in,New Home  Texas is in Lynn County ,583af4e9-bafb-449c-8f6e-039d32c7db0e,MSMARCO
what county is New London Texas,New London is in Rusk County  Texas ,76d679e7-fee7-4912-954b-083047b53783,MSMARCO
what county is Newland North Carolina in,Newland  North Carolina is in Avery County ,6039a81e-0827-40f0-8c69-1c8ecf2f18a0,MSMARCO
what county is Niceville Florida in,Niceville is a city in Okaloosa County  Florida ,bf1e473d-ad65-43fc-b4ad-11835cccf985,MSMARCO
what county is North Bend Nebraska in,North Bend is in Dodge County  Nebraska  United States ,05aa9ade-1155-4835-89a3-4e34f69d53ee,MSMARCO
what county is North Highlands California in,North Highlands  California is in Sacramento County ,7d422693-5e46-475b-98e7-7da439901f5b,MSMARCO
what county is North Lawrence,North Lawrence  New York is located in St Lawrence County ,a04bfb56-e99e-47e7-bb10-5066b6cc875a,MSMARCO
